Income,Area,Employed,Home Owner,Make,Model,Gender,Age,Colour,Stolen
76300,RURAL,1,1,BMW,3 SERIES,1,25,BLACK,1
52340,RURAL,0,1,MERCEDES,C CLASS,0,25,GREY,1
150600,RURAL,1,1,BMW,3 SERIES,0,19,WHITE,1
50000,RURAL,1,1,VOLKSWAGON,GOLF,1,55,BLACK,1
15000,RURAL,1,1,PEUGEOT,107,0,54,YELLOW,0
6550,URBAN,1,0,TOYOTA,AVENSIS,1,42,RED,0
75430,RURAL,1,1,BMW,3 SERIES,0,32,GREY,1
54350,RURAL,0,0,MERCEDES,C CLASS,0,65,BLACK,1
42130,URBAN,1,1,FORD,KIA,1,28,RED,0
12340,URBAN,1,1,BMW,1 SERIES,1,29,BLUE,0
63225,URBAN,1,1,MERCEDES,C CLASS,1,41,GREY,1
35600,RURAL,1,1,MERCEDES,C CLASS,0,34,BLACK,1
43250,RURAL,0,1,BMW,3 SERIES,0,42,GREY,1
38600,RURAL,1,1,BMW,3 SERIES,1,45,BLACK,1
45000,RURAL,0,1,MERCEDES,C CLASS,0,55,WHITE,1
12300,RURAL,0,0,PEUGEOT,207,1,23,WHITE,0
39860,RURAL,0,1,BMW,3 SERIES,1,43,BLACK,1
45500,URBAN,1,1,VOLKSWAGON,GOLF,0,33,BLACK,0
37250,RURAL,1,0,MERCEDES,C CLASS,1,52,BLACK,1
55230,RURAL,1,1,BMW,3 SERIES,0,23,GREY,1
47980,RURAL,1,1,MERCEDES,C CLASS,0,26,WHITE,1
34560,URBAN,0,1,TOYOTA,PRIUS,2,32,WHITE,0
43235,URBAN,1,0,TOYOTA,COROLLA,0,34,BLUE,0
52350,RURAL,1,1,MERCEDES,C CLASS,0,32,BLACK,1
43560,RURAL,1,1,MERCEDES,A  CLASS,1,27,WHITE,0
38000,RURAL,0,1,MERCEDES,C CLASS,0,21,WHITE,1
54560,RURAL,1,1,BMW,3 SERIES,1,32,BLACK,1
46540,RURAL,0,1,AUDI,A4,1,54,BLUE,0
5450,RURAL,1,1,BMW,X5,1,21,BLACK,0
95500,RURAL,0,1,MERCEDES,C CLASS,1,37,GREY,1
47650,RURAL,0,1,MERCEDES,C CLASS,0,45,GREY,1
12345,RURAL,1,1,MERCEDES,C CLASS,0,23,WHITE,0
54000,RURAL,0,1,BMW,3 SERIES,0,32,BLACK,1
26525,URBAN,0,1,PEUGEOT,107,0,53,YELLOW,0
82300,RURAL,1,0,AUDI,RS3,0,32,RED,0
42000,RURAL,0,1,MERCEDES,C CLASS,0,24,WHITE,1
75250,RURAL,0,0,MERCEDES,C CLASS,0,21,GREY,1
42000,RURAL,1,1,BMW,2 SERIES,1,65,PINK,0
39350,RURAL,0,1,BMW,3 SERIES,1,25,BLACK,1
76320,RURAL,1,1,AUDI,A3,1,19,RED,0
52000,RURAL,1,1,BMW,3 SERIES,0,28,WHITE,1
45000,RURAL,0,1,MERCEDES,C CLASS,0,36,GREY,1
12300,URBAN,0,0,BMW,X5,0,35,BLUE,0
65200,RURAL,1,1,BMW,3 SERIES,0,24,BLACK,1
